,state,account_length,area_code,international_plan,voice_mail_plan,number_vmail_messages,total_day_minutes,total_day_calls,total_eve_minutes,total_eve_calls,total_night_minutes,total_night_calls,total_intl_minutes,total_intl_calls,churn
1636,AZ,Inferior à média,510,no,no,Inferior à média,2,3,2,3,1,2,2,0,yes
1637,MN,Inferior à média,510,no,yes,Igual ou superior à média,2,2,4,1,2,2,2,2,no
1638,CO,Inferior à média,415,no,no,Inferior à média,3,2,2,3,3,2,2,0,no
1640,AR,Inferior à média,510,no,no,Inferior à média,2,2,1,2,2,2,2,0,no
1641,TN,Inferior à média,415,no,no,Inferior à média,3,2,2,1,2,2,2,0,no
1642,DE,Inferior à média,415,yes,no,Inferior à média,3,1,3,2,2,1,2,0,no
1643,TN,Inferior à média,408,no,no,Inferior à média,0,2,2,2,2,3,1,0,no
1644,WI,Igual ou superior à média,408,no,no,Inferior à média,1,2,2,2,4,1,1,0,no
1645,WV,Igual ou superior à média,510,no,no,Inferior à média,2,1,2,1,1,2,2,2,no
1646,CT,Inferior à média,415,no,yes,Igual ou superior à média,4,2,3,1,3,3,2,0,no
1647,MN,Igual ou superior à média,510,no,no,Inferior à média,4,4,2,3,1,3,2,0,yes
1648,MO,Igual ou superior à média,408,no,no,Inferior à média,3,2,0,2,2,1,3,1,no
1649,VA,Igual ou superior à média,510,no,no,Inferior à média,2,1,3,4,3,2,1,1,no
1650,NH,Igual ou superior à média,408,no,no,Inferior à média,0,1,2,2,2,4,2,1,no
1651,OK,Inferior à média,408,no,yes,Igual ou superior à média,3,1,2,2,0,3,2,0,no
1652,CT,Inferior à média,415,yes,no,Inferior à média,3,3,0,1,1,3,4,3,yes
1653,TN,Igual ou superior à média,415,no,yes,Igual ou superior à média,4,3,1,1,2,2,1,2,no
1654,MD,Inferior à média,510,yes,no,Inferior à média,1,1,2,2,1,2,2,0,yes
1655,WI,Inferior à média,510,no,yes,Igual ou superior à média,1,1,1,1,1,3,2,0,no
1656,SD,Igual ou superior à média,510,no,no,Inferior à média,1,2,3,2,2,1,0,0,no
1657,ND,Igual ou superior à média,415,no,yes,Igual ou superior à média,1,3,3,2,3,3,2,1,no
1658,VA,Igual ou superior à média,408,no,no,Inferior à média,1,1,1,3,2,1,1,4,no
1659,UT,Igual ou superior à média,510,no,no,Inferior à média,2,1,1,2,3,2,1,0,no
1660,MA,Igual ou superior à média,408,no,yes,Igual ou superior à média,2,2,1,1,1,2,3,1,no
1661,SD,Igual ou superior à média,415,no,no,Inferior à média,3,2,2,0,1,3,3,0,no
1662,AL,Inferior à média,408,no,yes,Igual ou superior à média,3,2,1,4,2,2,2,0,no
1663,AL,Igual ou superior à média,415,yes,no,Inferior à média,1,1,2,3,2,2,3,1,yes
1664,WV,Igual ou superior à média,408,no,no,Inferior à média,2,2,3,3,2,1,2,2,no
1665,SC,Inferior à média,415,no,yes,Igual ou superior à média,2,2,3,2,1,2,2,0,no
1666,FL,Igual ou superior à média,415,no,yes,Igual ou superior à média,2,3,1,2,1,2,3,1,no
1667,KY,Inferior à média,415,no,no,Inferior à média,2,1,4,1,3,1,1,1,no
1668,UT,Inferior à média,415,no,no,Inferior à média,2,1,2,2,1,3,2,0,no
1669,NY,Inferior à média,408,no,no,Inferior à média,2,2,2,1,2,3,1,2,no
1670,MS,Inferior à média,408,no,yes,Igual ou superior à média,2,3,3,1,2,3,1,4,no
1671,NH,Inferior à média,415,no,yes,Igual ou superior à média,1,1,2,1,3,2,3,0,no
1672,VA,Inferior à média,415,no,no,Inferior à média,1,2,3,0,4,1,3,2,no
1673,VT,Inferior à média,510,no,no,Inferior à média,2,2,1,0,2,2,3,0,no
1674,WY,Inferior à média,415,no,no,Inferior à média,2,1,3,3,2,1,2,3,no
1675,NV,Inferior à média,510,yes,no,Inferior à média,3,3,3,2,2,1,2,0,yes
1676,WV,Inferior à média,415,no,no,Inferior à média,1,2,2,2,2,1,2,0,no
1677,WA,Inferior à média,408,no,no,Inferior à média,1,2,1,1,1,3,1,1,no
1678,KS,Igual ou superior à média,415,no,no,Inferior à média,2,3,3,0,1,1,2,4,no
1679,VT,Inferior à média,408,no,no,Inferior à média,1,3,2,2,3,2,2,3,no
1680,OK,Inferior à média,510,no,no,Inferior à média,4,1,2,3,3,2,2,2,yes
1681,GA,Igual ou superior à média,510,no,no,Inferior à média,2,2,2,3,2,2,3,0,no
1682,CO,Igual ou superior à média,510,no,no,Inferior à média,1,2,3,2,2,2,1,1,no
1683,AK,Inferior à média,408,no,yes,Igual ou superior à média,2,2,1,1,2,0,1,0,no
1684,TN,Inferior à média,415,no,yes,Igual ou superior à média,2,2,3,4,2,3,3,1,no
1685,KY,Igual ou superior à média,510,no,no,Inferior à média,1,2,1,2,1,2,3,1,no
1686,PA,Inferior à média,415,no,no,Inferior à média,1,1,1,1,2,1,2,1,no
1687,CT,Igual ou superior à média,408,no,yes,Igual ou superior à média,3,0,2,2,3,1,3,0,no
1688,CT,Inferior à média,415,no,no,Inferior à média,0,1,1,2,2,2,3,1,no
1689,MN,Inferior à média,415,no,no,Inferior à média,0,2,2,2,2,2,2,1,no
1690,WY,Inferior à média,408,no,yes,Igual ou superior à média,1,1,2,2,2,0,2,1,no
1691,PA,Igual ou superior à média,415,no,yes,Igual ou superior à média,3,4,2,3,2,2,3,3,no
1692,OR,Inferior à média,415,no,no,Inferior à média,3,3,3,3,2,0,1,1,yes
1693,PA,Inferior à média,415,no,no,Inferior à média,3,3,2,2,3,1,1,2,yes
1694,OK,Igual ou superior à média,415,no,yes,Igual ou superior à média,2,3,3,2,2,3,3,1,no
1696,ID,Igual ou superior à média,415,no,no,Inferior à média,2,2,2,2,3,3,3,1,no
1697,PA,Igual ou superior à média,510,no,no,Inferior à média,3,3,2,1,1,2,3,2,no
1698,NM,Igual ou superior à média,408,no,no,Inferior à média,2,2,2,3,2,1,2,0,no
1699,FL,Igual ou superior à média,510,no,no,Inferior à média,2,1,1,3,3,1,1,1,no
1700,TX,Igual ou superior à média,408,no,no,Inferior à média,3,3,1,4,1,1,1,0,no
1701,VT,Inferior à média,510,no,yes,Igual ou superior à média,3,3,1,0,2,1,2,1,no
1702,MA,Inferior à média,415,no,no,Inferior à média,4,1,3,1,2,1,2,4,yes
1703,OR,Igual ou superior à média,415,no,no,Inferior à média,1,2,3,1,2,1,1,0,yes
1704,DE,Inferior à média,415,no,yes,Igual ou superior à média,2,2,2,1,2,2,2,0,no
1705,FL,Igual ou superior à média,510,no,no,Inferior à média,4,2,3,2,1,2,2,1,yes
1706,ID,Inferior à média,408,no,yes,Igual ou superior à média,3,2,2,3,1,2,1,0,no
1707,MD,Inferior à média,415,no,no,Inferior à média,4,3,1,4,3,3,2,0,no
1708,WV,Inferior à média,408,no,no,Inferior à média,1,3,1,2,2,1,1,3,yes
1709,ID,Inferior à média,415,no,yes,Igual ou superior à média,2,1,3,3,1,2,2,0,no
1710,NV,Inferior à média,408,no,no,Inferior à média,2,1,3,0,2,1,2,0,no
1711,OH,Igual ou superior à média,415,no,no,Inferior à média,2,2,3,1,3,3,2,2,no
1712,ID,Igual ou superior à média,415,yes,yes,Igual ou superior à média,3,3,2,1,1,2,2,1,no
1713,SC,Igual ou superior à média,408,no,no,Inferior à média,2,1,2,3,1,3,2,1,no
1714,MO,Inferior à média,510,no,no,Inferior à média,1,1,2,1,2,1,1,0,yes
1715,NE,Inferior à média,415,no,no,Inferior à média,2,1,0,2,3,1,2,0,no
1716,NC,Inferior à média,510,no,yes,Igual ou superior à média,1,1,3,2,2,2,3,1,no
1717,ME,Inferior à média,510,no,yes,Igual ou superior à média,2,2,3,1,1,1,2,0,no
1718,MI,Inferior à média,510,no,no,Inferior à média,1,2,2,3,2,2,3,0,no
1719,AZ,Igual ou superior à média,415,yes,no,Inferior à média,3,1,1,3,4,1,2,3,yes
1720,AZ,Inferior à média,415,no,no,Inferior à média,2,4,1,3,2,1,4,1,no
1721,HI,Igual ou superior à média,408,no,no,Inferior à média,2,2,1,2,2,3,1,0,no
1722,NJ,Igual ou superior à média,415,no,no,Inferior à média,2,3,2,3,2,1,1,0,no
1723,MS,Inferior à média,510,no,no,Inferior à média,0,2,2,3,2,3,3,0,no
1724,MA,Inferior à média,510,no,no,Inferior à média,2,3,3,1,3,1,2,2,no
1725,SC,Inferior à média,510,no,no,Inferior à média,1,1,1,0,1,1,1,1,no
1726,MN,Inferior à média,408,no,no,Inferior à média,1,1,2,2,3,3,3,1,no
1727,WV,Inferior à média,510,no,no,Inferior à média,1,2,2,2,2,3,2,1,no
1728,MS,Igual ou superior à média,415,no,no,Inferior à média,1,0,1,3,3,0,3,0,no
1729,VA,Igual ou superior à média,415,no,yes,Igual ou superior à média,2,2,3,1,2,1,2,1,no
1730,MS,Igual ou superior à média,415,no,yes,Igual ou superior à média,1,3,2,2,1,1,3,1,no
1731,NM,Igual ou superior à média,408,no,no,Inferior à média,1,3,3,0,3,3,3,0,no
1732,TX,Inferior à média,415,no,no,Inferior à média,3,2,4,2,3,2,3,2,yes
1733,HI,Inferior à média,415,no,yes,Igual ou superior à média,1,2,3,3,2,2,1,1,no
1734,WA,Igual ou superior à média,510,no,no,Inferior à média,1,1,3,2,3,1,0,2,no
1735,WI,Inferior à média,415,no,no,Inferior à média,2,2,4,2,2,2,3,0,no
1736,CO,Igual ou superior à média,408,no,no,Inferior à média,1,1,2,1,1,2,3,0,no
1737,NV,Igual ou superior à média,415,no,no,Inferior à média,4,3,2,1,2,4,1,2,yes
1738,RI,Igual ou superior à média,415,no,no,Inferior à média,1,2,2,2,2,0,2,2,no
1739,VA,Igual ou superior à média,408,no,yes,Igual ou superior à média,2,2,3,0,4,2,0,0,no
1740,NJ,Inferior à média,415,no,no,Inferior à média,3,3,4,4,1,4,1,0,yes
1741,ND,Igual ou superior à média,415,no,yes,Igual ou superior à média,3,3,1,2,1,2,2,2,no
1742,MN,Inferior à média,415,no,no,Inferior à média,3,3,2,1,3,1,0,1,no
1743,HI,Inferior à média,415,no,no,Inferior à média,0,3,2,2,3,0,2,1,no
1744,ND,Inferior à média,415,no,no,Inferior à média,3,1,3,1,1,3,1,0,no
1745,WI,Igual ou superior à média,408,no,yes,Igual ou superior à média,3,2,3,1,3,3,1,0,no
1746,MN,Inferior à média,510,no,no,Inferior à média,3,2,1,3,2,3,2,0,no
1747,DC,Inferior à média,408,no,no,Inferior à média,2,4,2,2,3,2,3,2,yes
1748,KS,Igual ou superior à média,510,no,no,Inferior à média,2,2,2,2,1,3,2,1,no
1749,MT,Inferior à média,510,no,yes,Igual ou superior à média,2,1,3,4,3,4,3,2,no
1750,WV,Igual ou superior à média,415,no,no,Inferior à média,2,2,1,2,2,2,2,0,no
1751,ME,Inferior à média,510,no,no,Inferior à média,1,1,1,2,3,3,1,0,yes
1753,NY,Igual ou superior à média,415,yes,no,Inferior à média,2,1,1,1,3,2,3,0,yes
1754,VT,Inferior à média,415,no,no,Inferior à média,1,2,2,2,2,3,1,0,no
1755,NC,Inferior à média,415,yes,no,Inferior à média,2,2,3,2,1,2,2,0,yes
1756,MO,Inferior à média,408,yes,yes,Igual ou superior à média,2,2,2,3,1,1,3,1,no
1757,NC,Igual ou superior à média,408,yes,yes,Igual ou superior à média,2,2,1,2,1,2,2,2,no
1758,NJ,Inferior à média,408,yes,no,Inferior à média,2,3,2,2,1,3,3,2,no
1759,OH,Igual ou superior à média,408,no,no,Inferior à média,2,2,2,2,3,2,3,2,no
1760,TX,Inferior à média,415,no,yes,Igual ou superior à média,2,2,3,2,2,2,2,2,no
1761,WA,Inferior à média,415,no,no,Inferior à média,2,2,3,2,3,2,2,2,no
1762,TN,Igual ou superior à média,415,no,yes,Igual ou superior à média,3,3,3,3,3,3,1,0,no
1763,HI,Igual ou superior à média,510,no,no,Inferior à média,2,1,1,3,2,1,1,0,no
1764,WY,Inferior à média,408,no,yes,Igual ou superior à média,2,2,3,1,1,2,2,0,no
1765,CT,Inferior à média,415,no,no,Inferior à média,3,1,3,1,3,2,1,1,yes
1766,NM,Igual ou superior à média,415,no,no,Inferior à média,1,3,2,1,1,2,3,0,yes
1767,NJ,Igual ou superior à média,415,no,no,Inferior à média,2,0,1,3,2,2,2,2,no
1768,AL,Igual ou superior à média,510,no,yes,Igual ou superior à média,2,1,0,2,2,3,2,0,no
1769,MN,Igual ou superior à média,510,yes,no,Inferior à média,1,2,2,2,2,3,2,0,yes
1770,NC,Igual ou superior à média,408,no,no,Inferior à média,2,2,3,1,1,1,2,0,no
1771,OH,Igual ou superior à média,415,no,no,Inferior à média,2,2,2,3,3,2,2,0,no
1772,ND,Igual ou superior à média,415,no,yes,Igual ou superior à média,1,3,2,3,2,2,3,3,no
1773,CO,Inferior à média,510,no,no,Inferior à média,2,2,2,1,1,2,3,4,no
1774,ND,Inferior à média,415,yes,yes,Igual ou superior à média,3,1,1,1,2,3,2,0,no
1775,NY,Inferior à média,415,no,no,Inferior à média,3,1,1,3,3,1,1,0,no
1776,WI,Igual ou superior à média,408,no,yes,Igual ou superior à média,3,2,3,0,3,2,2,1,no
1777,WY,Inferior à média,415,no,no,Inferior à média,2,3,2,2,2,2,2,1,no
1778,OR,Igual ou superior à média,415,no,no,Inferior à média,3,1,3,2,2,1,2,0,yes
1779,CO,Inferior à média,510,no,yes,Igual ou superior à média,1,1,1,0,3,3,2,4,no
1780,LA,Igual ou superior à média,510,no,no,Inferior à média,2,3,3,1,1,3,2,2,no
1781,AL,Inferior à média,510,no,no,Inferior à média,2,1,2,1,2,3,3,2,no
1782,TX,Igual ou superior à média,415,no,yes,Igual ou superior à média,2,2,3,1,1,3,3,0,no
1783,PA,Inferior à média,510,no,no,Inferior à média,3,1,1,0,1,2,1,0,no
1784,IL,Inferior à média,415,no,yes,Igual ou superior à média,1,2,1,2,1,4,2,0,no
1785,DE,Inferior à média,415,yes,no,Inferior à média,2,2,3,1,2,2,3,1,yes
1786,MO,Inferior à média,510,no,yes,Igual ou superior à média,1,2,2,2,3,2,1,2,no
1787,AR,Igual ou superior à média,510,no,no,Inferior à média,2,1,1,2,3,4,1,1,no
1788,OH,Igual ou superior à média,408,no,yes,Igual ou superior à média,2,2,3,2,1,1,1,0,no
1789,WI,Inferior à média,510,no,yes,Igual ou superior à média,2,3,2,2,2,2,3,1,no
1790,GA,Igual ou superior à média,510,no,no,Inferior à média,3,2,0,3,1,2,0,2,no
1791,KY,Igual ou superior à média,408,no,no,Inferior à média,2,3,2,2,2,3,2,0,no
1792,OH,Inferior à média,510,no,no,Inferior à média,1,2,2,2,2,2,2,0,no
1793,TN,Igual ou superior à média,408,no,no,Inferior à média,1,2,2,2,3,2,1,2,no
1794,SD,Inferior à média,415,no,no,Inferior à média,2,1,3,2,3,3,1,1,no
1795,NY,Inferior à média,415,no,no,Inferior à média,4,1,2,2,2,2,2,1,yes
1796,GA,Igual ou superior à média,415,no,yes,Igual ou superior à média,2,3,3,2,1,3,4,1,no
1797,TX,Inferior à média,415,no,no,Inferior à média,1,2,1,2,2,3,3,1,no
1798,WV,Inferior à média,415,no,yes,Igual ou superior à média,1,2,2,3,2,2,2,4,no
1799,MI,Inferior à média,415,no,no,Inferior à média,2,0,3,3,2,2,3,1,no
1800,ND,Igual ou superior à média,510,no,no,Inferior à média,2,1,1,2,0,2,1,4,no
1801,NE,Inferior à média,510,no,no,Inferior à média,3,2,3,2,2,2,2,1,no
1802,SD,Inferior à média,415,no,no,Inferior à média,2,2,2,3,3,2,1,2,no
1803,NJ,Igual ou superior à média,415,no,yes,Igual ou superior à média,3,1,2,2,0,3,3,2,no
1804,AK,Igual ou superior à média,510,no,no,Inferior à média,2,2,3,1,2,2,1,1,no
1805,CT,Igual ou superior à média,415,yes,no,Inferior à média,2,3,1,2,3,3,2,0,yes
1806,CO,Inferior à média,415,no,no,Inferior à média,3,1,3,4,2,2,2,3,no
1807,MD,Igual ou superior à média,415,no,no,Inferior à média,3,2,1,3,2,2,2,2,no
1808,ND,Igual ou superior à média,408,no,no,Inferior à média,2,2,2,3,1,1,3,0,no
1809,NH,Inferior à média,415,no,no,Inferior à média,3,2,2,1,2,2,3,0,no
1810,MN,Igual ou superior à média,408,no,no,Inferior à média,2,2,2,3,4,2,3,0,no
1811,KY,Igual ou superior à média,415,no,no,Inferior à média,2,2,3,3,2,4,3,1,no
1812,NH,Igual ou superior à média,510,no,no,Inferior à média,1,4,2,1,3,2,4,3,no
1813,CO,Igual ou superior à média,408,yes,no,Inferior à média,4,3,3,2,0,2,1,0,no
1814,KY,Inferior à média,408,no,no,Inferior à média,2,1,1,1,1,4,1,0,no
1815,KY,Inferior à média,415,no,no,Inferior à média,2,4,2,3,1,3,3,1,no
1816,IN,Igual ou superior à média,415,no,yes,Igual ou superior à média,2,1,1,1,2,2,2,0,no
1817,OR,Inferior à média,415,no,no,Inferior à média,2,2,2,3,1,3,4,0,no
1818,SD,Igual ou superior à média,408,no,no,Inferior à média,2,3,1,3,2,3,1,1,no
1819,DE,Inferior à média,408,no,no,Inferior à média,1,4,2,3,3,3,2,0,no
1820,OR,Igual ou superior à média,415,no,yes,Igual ou superior à média,3,1,1,2,3,1,0,1,no
1821,NE,Inferior à média,510,no,no,Inferior à média,1,1,1,3,3,2,2,0,no
1822,OH,Igual ou superior à média,408,no,yes,Igual ou superior à média,3,2,3,2,0,3,4,2,no
1823,OH,Igual ou superior à média,408,no,no,Inferior à média,1,2,3,2,1,1,2,1,no
1824,AR,Igual ou superior à média,415,no,yes,Igual ou superior à média,3,1,1,3,3,2,2,0,no
1825,KS,Igual ou superior à média,510,no,yes,Igual ou superior à média,2,1,3,2,2,3,3,0,no
1826,TX,Igual ou superior à média,415,no,no,Inferior à média,2,2,3,1,1,2,1,0,no
1827,WI,Igual ou superior à média,408,no,no,Inferior à média,2,2,1,3,2,3,1,0,no
1828,OR,Inferior à média,415,no,no,Inferior à média,2,2,2,2,3,3,3,2,no
1829,VA,Igual ou superior à média,408,no,no,Inferior à média,2,1,2,2,1,1,2,0,no
1830,AR,Inferior à média,415,no,yes,Igual ou superior à média,3,4,2,1,1,3,2,4,no
1831,CT,Inferior à média,408,no,no,Inferior à média,4,1,1,3,0,2,2,2,no
1833,WY,Inferior à média,510,no,no,Inferior à média,2,3,2,2,1,3,3,4,no
1834,IL,Inferior à média,408,no,no,Inferior à média,2,2,3,1,2,3,1,0,no
1835,MO,Igual ou superior à média,415,no,yes,Igual ou superior à média,2,1,2,3,3,3,3,2,no
1836,DC,Igual ou superior à média,415,no,yes,Igual ou superior à média,2,1,2,3,2,2,1,0,no
1837,MA,Igual ou superior à média,415,no,yes,Igual ou superior à média,2,2,3,3,1,2,2,0,no
1838,NH,Igual ou superior à média,510,yes,no,Inferior à média,0,2,4,1,2,1,2,0,yes
1839,IA,Inferior à média,408,no,yes,Igual ou superior à média,2,3,2,3,2,4,1,3,no
1840,AL,Inferior à média,415,no,no,Inferior à média,3,2,0,1,3,2,3,1,no
1841,OR,Inferior à média,510,no,yes,Igual ou superior à média,3,2,0,2,2,3,1,0,no
1842,WV,Inferior à média,510,no,yes,Igual ou superior à média,2,3,0,2,1,2,1,0,no
1843,WA,Inferior à média,408,no,no,Inferior à média,4,1,2,2,2,1,2,1,yes
1844,NV,Igual ou superior à média,408,no,no,Inferior à média,2,2,2,2,3,0,4,0,no
1845,SC,Inferior à média,510,no,yes,Igual ou superior à média,1,3,3,2,2,1,2,0,yes
1846,NC,Inferior à média,415,yes,no,Inferior à média,2,3,2,2,3,3,3,0,yes
1847,NH,Igual ou superior à média,510,no,yes,Igual ou superior à média,2,3,2,1,1,3,2,1,no
1848,WY,Inferior à média,408,no,yes,Igual ou superior à média,1,1,2,3,1,3,3,3,no
1849,FL,Igual ou superior à média,510,yes,no,Inferior à média,2,4,1,3,2,0,2,0,no
1850,PA,Igual ou superior à média,408,no,no,Inferior à média,4,3,1,2,2,1,3,0,yes
1851,NC,Igual ou superior à média,408,no,yes,Igual ou superior à média,2,4,2,3,2,2,2,3,yes
1852,MO,Inferior à média,510,no,no,Inferior à média,2,2,2,4,1,3,2,0,yes
1853,KS,Igual ou superior à média,510,no,yes,Igual ou superior à média,1,4,1,2,3,2,3,0,no
1854,KY,Igual ou superior à média,415,no,no,Inferior à média,2,1,3,1,2,3,1,2,no
1855,DE,Inferior à média,415,no,no,Inferior à média,2,4,1,2,3,2,1,1,no
1856,WI,Inferior à média,510,no,no,Inferior à média,1,3,1,1,0,1,2,1,no
1857,CO,Inferior à média,408,no,no,Inferior à média,2,2,4,0,1,2,2,1,no
1858,NM,Igual ou superior à média,415,no,no,Inferior à média,3,2,3,2,3,3,3,1,yes
1859,DE,Igual ou superior à média,510,no,no,Inferior à média,3,2,3,2,1,2,2,2,no
1860,IL,Igual ou superior à média,510,no,no,Inferior à média,2,2,3,2,2,2,1,0,no
1861,WA,Inferior à média,408,no,no,Inferior à média,3,2,3,1,2,2,1,2,no
1862,MA,Igual ou superior à média,408,yes,yes,Igual ou superior à média,2,2,1,2,2,3,1,0,yes
1863,OH,Igual ou superior à média,408,yes,no,Inferior à média,3,2,3,1,2,2,1,0,yes
1864,TN,Inferior à média,408,yes,no,Inferior à média,2,3,3,2,1,1,2,1,no
1865,MA,Inferior à média,510,no,no,Inferior à média,2,2,3,0,2,2,2,1,no
1867,TX,Igual ou superior à média,510,no,no,Inferior à média,1,1,3,3,2,3,2,0,yes
1868,NH,Igual ou superior à média,408,yes,yes,Igual ou superior à média,2,2,1,3,2,0,2,0,no
1869,MD,Igual ou superior à média,408,no,no,Inferior à média,2,3,2,1,2,0,1,0,no
1870,MS,Igual ou superior à média,408,no,no,Inferior à média,3,4,3,2,3,2,3,3,yes
1871,AZ,Inferior à média,415,no,no,Inferior à média,2,2,3,3,2,3,1,1,no
1872,IN,Inferior à média,408,no,no,Inferior à média,2,2,2,1,3,2,1,1,no
1873,NY,Inferior à média,510,yes,no,Inferior à média,1,1,1,1,4,1,1,0,no
1874,WI,Igual ou superior à média,510,no,yes,Igual ou superior à média,3,2,1,3,2,1,3,0,no
1875,WV,Inferior à média,510,no,no,Inferior à média,2,3,3,2,2,2,0,0,no
1876,NY,Inferior à média,415,no,no,Inferior à média,2,2,3,1,2,1,2,2,no
1877,OK,Inferior à média,415,no,no,Inferior à média,2,3,2,4,3,3,1,0,no
1878,NC,Inferior à média,408,yes,no,Inferior à média,3,3,1,2,3,3,2,1,no
1879,KY,Inferior à média,415,no,no,Inferior à média,4,3,3,3,2,3,2,0,yes
1880,TX,Inferior à média,510,no,no,Inferior à média,1,2,2,4,2,4,2,2,no
1881,CT,Inferior à média,415,no,no,Inferior à média,2,2,1,1,3,3,3,0,yes
1882,NE,Inferior à média,415,no,no,Inferior à média,3,2,3,2,3,2,1,0,yes
1883,HI,Igual ou superior à média,408,yes,yes,Igual ou superior à média,2,1,2,1,2,2,3,0,no
1884,SC,Igual ou superior à média,510,no,yes,Igual ou superior à média,2,1,2,2,2,2,2,3,no
1885,AK,Inferior à média,510,yes,yes,Igual ou superior à média,1,0,2,3,2,2,3,2,no
1886,SD,Inferior à média,408,no,no,Inferior à média,3,2,3,2,1,1,3,2,no
1888,OK,Igual ou superior à média,510,yes,yes,Igual ou superior à média,2,1,0,3,1,2,3,0,yes
1889,WA,Igual ou superior à média,408,no,no,Inferior à média,2,2,3,0,0,3,3,1,no
1891,OH,Igual ou superior à média,415,no,no,Inferior à média,3,3,3,0,0,1,2,0,no
1892,VA,Igual ou superior à média,415,no,no,Inferior à média,2,2,1,1,4,1,2,0,no
1893,WI,Igual ou superior à média,415,yes,no,Inferior à média,3,2,2,2,1,4,2,0,yes
1894,IN,Inferior à média,510,no,no,Inferior à média,3,3,3,3,3,2,2,2,yes
1895,NM,Inferior à média,408,no,no,Inferior à média,1,1,1,2,3,2,2,1,no
1896,HI,Inferior à média,408,no,yes,Igual ou superior à média,2,2,1,2,2,3,2,3,no
1897,KY,Igual ou superior à média,415,no,no,Inferior à média,2,3,2,2,3,2,2,1,no
1898,OH,Inferior à média,415,no,yes,Igual ou superior à média,3,1,2,2,3,3,3,0,no
1899,VT,Igual ou superior à média,415,no,no,Inferior à média,4,2,2,2,2,2,1,1,yes
1900,AZ,Igual ou superior à média,415,no,yes,Igual ou superior à média,1,2,0,0,3,2,2,2,no
1901,VT,Igual ou superior à média,510,no,no,Inferior à média,2,3,3,1,2,1,2,0,no
1902,MO,Igual ou superior à média,408,no,no,Inferior à média,2,2,2,3,2,3,2,2,no
1903,AL,Inferior à média,415,no,no,Inferior à média,3,1,2,1,2,1,2,2,no
1904,NJ,Inferior à média,510,yes,yes,Igual ou superior à média,3,3,1,3,2,3,3,2,yes
1905,WA,Igual ou superior à média,408,no,yes,Igual ou superior à média,2,2,2,2,1,3,3,1,yes
1906,NY,Inferior à média,415,no,no,Inferior à média,2,3,1,2,2,2,1,0,no
1907,DC,Inferior à média,415,no,yes,Igual ou superior à média,2,2,0,3,1,2,2,1,no
1908,NE,Inferior à média,408,no,yes,Igual ou superior à média,2,2,3,2,2,3,2,0,no
1909,MA,Inferior à média,408,no,yes,Igual ou superior à média,0,4,1,2,4,3,3,0,no
1910,VT,Igual ou superior à média,415,no,yes,Igual ou superior à média,3,2,2,1,2,2,3,0,no
1911,NM,Igual ou superior à média,415,no,no,Inferior à média,0,3,2,2,3,2,1,1,no
1912,CO,Igual ou superior à média,408,no,no,Inferior à média,2,0,2,0,2,2,1,2,no
1914,IL,Inferior à média,510,no,no,Inferior à média,2,1,1,1,2,2,1,1,no
1915,UT,Inferior à média,408,no,yes,Igual ou superior à média,2,1,1,2,1,3,2,0,no
1916,WV,Igual ou superior à média,415,no,no,Inferior à média,3,2,2,2,4,4,1,3,no
1917,NJ,Inferior à média,415,no,no,Inferior à média,2,2,1,3,3,2,2,0,no
1918,NM,Igual ou superior à média,510,no,no,Inferior à média,2,3,2,1,3,2,2,0,no
1919,ND,Igual ou superior à média,408,no,no,Inferior à média,2,2,2,3,2,3,3,0,no
1921,NM,Inferior à média,415,no,no,Inferior à média,3,2,2,2,2,2,2,2,no
1922,DE,Igual ou superior à média,415,no,no,Inferior à média,1,2,2,2,1,3,2,2,no
1923,GA,Inferior à média,415,no,no,Inferior à média,3,3,1,3,2,1,2,3,no
1924,HI,Igual ou superior à média,408,no,no,Inferior à média,3,3,1,3,4,3,2,2,no
1925,CT,Igual ou superior à média,415,no,no,Inferior à média,1,1,3,3,4,2,2,0,no
1926,NJ,Inferior à média,415,no,no,Inferior à média,2,2,2,4,3,2,2,2,no
1927,ME,Inferior à média,408,no,no,Inferior à média,2,2,2,2,2,2,2,1,no
1928,OK,Igual ou superior à média,510,no,no,Inferior à média,2,3,0,3,1,0,4,0,no
1929,TN,Igual ou superior à média,510,no,no,Inferior à média,1,1,3,3,1,2,2,1,no
1930,WY,Inferior à média,415,no,no,Inferior à média,2,3,1,3,3,2,2,1,no
1931,NY,Igual ou superior à média,415,no,no,Inferior à média,1,2,2,2,2,2,2,0,no
1932,DE,Inferior à média,510,yes,no,Inferior à média,3,1,2,0,1,3,1,1,no
1933,RI,Inferior à média,415,no,no,Inferior à média,2,3,2,1,4,2,2,1,no
1934,PA,Igual ou superior à média,408,no,no,Inferior à média,3,2,3,1,2,2,2,0,yes
1935,HI,Igual ou superior à média,415,no,no,Inferior à média,4,3,4,2,2,2,2,0,yes
1936,MD,Igual ou superior à média,415,yes,yes,Igual ou superior à média,1,2,1,3,3,1,3,1,yes
1937,VA,Inferior à média,415,no,no,Inferior à média,1,3,1,3,2,2,2,0,no
1938,IN,Inferior à média,415,no,yes,Igual ou superior à média,3,2,1,4,0,3,3,1,no
1939,OR,Igual ou superior à média,408,no,yes,Igual ou superior à média,1,1,2,2,3,1,1,2,no
1940,AZ,Igual ou superior à média,510,no,no,Inferior à média,1,2,2,1,2,4,2,1,yes
